scraped_at,tab,load_id,pay,pickup_location,pickup_time,delivery_location,delivery_time,dhpu,loaded,notes,total_miles,rate_per_mile,score,deadhead_miles
2026-06-19T19:41:47.153931,WG,72105094,"$1,316.81","CINCINNATI, OH",,"BATESVILLE, MS",,923,550,NO NOTES,1473,0.89,1,
2026-06-19T19:41:50.042332,WG,72105100,"$5,462.90","SANTA ANA, CA",,"AMES, IA",,"2,509","1,709",**ATTN: PO# 5201416146 / NICHOLE HOLLINGER / 515-441-8219 / NICHOLE.HOLLINGER@MERCK.COM / CODE: USH0,4218,1.30,13,
2026-06-19T19:41:55.152525,WG,72105982,"$1,163.41","CALEDONIA, MI",,"NORTH CHICAGO, IL",,"1,261",236,NO NOTES,1497,0.78,1,
2026-06-19T19:41:58.229428,WG,72105875,"$5,626.88","MOSES LAKE, WA",,"PLYMOUTH, MN",,"2,930","1,473",NO NOTES,4403,1.28,13,
2026-06-19T19:42:00.973725,WG,72105971,$982.93,"LONG BEACH, CA",,"EL SEGUNDO, CA",,"2,532",19,NO NOTES,2551,0.39,1,
2026-06-19T19:42:03.798044,WG,72103771,"$2,010.08","MOUNT VERNON, IN",,"MISSISSAUGA, ON",,879,685,NO NOTES,1564,1.29,10,
2026-06-19T19:42:06.558840,WG,72105991,"$5,628.86","LOCKBOURNE, OH",,"TEMPE, AZ",,991,"1,883",IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,2874,1.96,32,
2026-06-19T19:42:09.336575,WG,72105060,$757.62,"INDIANAPOLIS, IN",,"PLEASANT PRAIRIE, WI",,998,248,"L1218217: TRAILER MUST BE EMPTY AND NO PERSONAL ITEMS, OR PALLET JACK, SECUREMENT ITEMS ONLY",1246,0.61,1,
2026-06-19T19:42:12.108993,WG,72105082,$982.27,"MCDONOUGH, GA",,"COURTLAND, AL",,435,284,"?CORRECT ADDRESS FROM CUSTOMER - 1325 MACON ST, MCDONOUGH, GA",719,1.37,11,
2026-06-19T19:42:15.057938,WG,72104321,"$4,358.82","FORT WORTH, TX",,"RENO, NV",,"1,143","1,639","L1163385: TRAILERS MUST BE CLEAN, EMPTY, DRY, FREE OF STRUCTURAL DAMAGE AND NO ODORS FROM PRIOR FREIGHT. MUST HAVE TWO LOAD LOCKS IN EACH TRAILER AND FUEL TANKS 3/4 FULL PRIOR TO PICKUP ARRIVAL.",2782,1.57,20,
2026-06-19T19:42:17.551463,WG,72105725,"$1,305.27","MINNETONKA, MN",,"MIDDLETON, WI",,"1,604",275,NO NOTES,1879,0.69,1,
2026-06-19T19:42:20.316323,WG,72106026,$954.19,"LAKEWOOD, NJ",,"CAMBRIDGE, MA",,"1,107",273,NO NOTES,1380,0.69,1,
2026-06-19T19:42:23.124463,WG,72098863,"$2,386.13","BLOOMINGTON, IN",,"RENSSELAER, NY",,971,840,NO NOTES,1811,1.32,11,
2026-06-19T19:42:25.968875,WG,72103283,$946.47,"BETHLEHEM, PA",,"ROCKVILLE, MD",,"1,100",199,NO NOTES,1299,0.73,1,
